AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-17.03,17.51,0.31,0.89,1.45,0.42,1.48,0.97,0.49,0.31,80144,1.93,62.19
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-17.32,12.18,-0.63,1.47,2.07,-0.52,2.17,1.54,0.28,0.63,47296,3.36,36.7
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-60.03,69.10,-0.21,1.12,1.73,-0.04,1.74,1.11,0.66,0.21,128877,2.64,100
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-56.04,18.22,0.05,0.84,1.42,0.10,1.42,0.84,0.36,0.05,79914,1.89,62.01
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-60.03,69.10,-0.64,1.46,2.07,-0.57,2.16,1.55,0.21,0.64,47526,3.36,36.88
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-21.44,59.37,-0.34,2.07,3.01,0.19,3.03,2.03,1.49,0.34,128877,4.23,100
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-18.75,25.44,0.41,1.45,2.05,0.82,2.09,1.56,0.94,0.41,80144,2.88,62.19
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-21.44,59.37,-1.65,2.47,3.82,-1.50,4.16,2.81,0.56,1.65,47296,5.9,36.7
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-150.70,74.04,-0.51,1.98,2.93,-0.00,2.98,1.94,1.32,0.51,128877,4.25,100
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-66.47,25.81,0.14,1.38,1.99,0.50,1.99,1.41,0.80,0.14,79914,2.81,62.01
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-150.70,74.04,-1.65,2.46,3.80,-1.54,4.14,2.82,0.47,1.65,47526,5.86,36.88
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,ALL,99.45,-18.23,13.40,0.16,0.90,1.32,0.33,1.33,0.94,0.69,0.16,128520,2,100
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,FLAT,99.45,-16.27,13.40,0.39,0.66,1.02,0.46,1.09,0.78,0.43,0.39,80109,1.57,62.33
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,STEEP,99.45,-18.23,8.75,-0.23,1.18,1.62,-0.14,1.64,1.19,0.26,0.23,47340,2.54,36.83
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,ALL,99.45,-50.71,87.52,-0.01,0.84,1.24,0.07,1.24,0.84,0.57,0.01,128520,1.89,100
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,FLAT,99.45,-50.71,15.55,0.12,0.65,0.98,0.14,0.99,0.66,0.33,0.12,79916,1.44,62.18
brazil,S08PW038D,ALOS,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_area,DSM,STEEP,99.45,-47.04,87.52,-0.24,1.12,1.53,-0.18,1.55,1.13,0.19,0.24,47533,2.41,36.98
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-20.86,53.58,-0.44,2.07,2.91,0.08,2.94,2.02,1.50,0.44,128877,4.26,100
