AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90,SLOPE_PC
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-41.92,16.20,0.63,1.71,2.49,0.51,2.57,1.77,1.16,0.63,116102,4.01,91.35
brazil,S08PW038C,FABDEM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-39.17,50.76,1.74,4.97,6.65,1.38,6.87,5.11,0.09,1.74,10987,11.02,8.65
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-43.25,48.90,1.10,2.25,3.32,0.83,3.49,2.38,1.62,1.10,127092,5.35,100
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-43.25,16.67,0.99,1.97,2.75,0.80,2.92,2.09,1.43,0.99,115656,4.68,91
brazil,S08PW038C,FABDEM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-39.17,48.90,2.21,5.00,6.68,1.92,7.03,5.25,0.12,2.21,11436,11.29,9
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-60.03,69.10,0.28,4.79,7.70,-0.08,7.71,4.77,2.49,0.28,127440,12.23,100
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-56.04,17.47,-1.09,2.84,4.64,-0.42,4.76,2.79,1.26,1.09,80144,6.55,62.89
brazil,S08PW038D,COP,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-60.03,69.10,2.60,7.86,10.71,2.34,11.02,8.12,0.68,2.60,47296,17.6,37.11
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-65.66,69.82,0.42,4.94,7.87,0.08,7.88,4.93,2.63,0.42,127440,12.5,100
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-56.14,16.65,-0.95,2.96,4.78,-0.29,4.88,2.90,1.34,0.95,79914,6.78,62.71
brazil,S08PW038D,COP,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-65.66,69.82,2.73,8.03,10.91,2.56,11.25,8.33,0.74,2.73,47526,18.02,37.29
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-150.70,74.04,1.04,5.64,8.48,0.00,8.55,5.54,3.40,1.04,127440,13.27,100
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-66.47,17.66,-1.30,3.27,4.71,-0.92,4.88,3.36,1.89,1.30,80144,7.26,62.89
brazil,S08PW038D,SRTM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-150.70,74.04,5.01,8.36,11.45,4.54,12.50,9.24,1.07,5.01,47296,19.57,37.11
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-150.70,73.24,1.19,5.73,8.57,0.19,8.65,5.65,3.49,1.19,127440,13.47,100
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-66.47,17.22,-1.16,3.39,4.85,-0.77,4.98,3.44,1.95,1.16,79914,7.42,62.71
brazil,S08PW038D,SRTM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-150.70,73.24,5.13,8.43,11.52,4.67,12.61,9.37,1.11,5.13,47526,19.77,37.29
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,ALL,99.45,-50.71,87.52,0.35,2.70,4.13,0.05,4.15,2.68,1.60,0.35,127449,6.51,100
brazil,S08PW038D,ALOS,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_area,DTM,FLAT,99.45,-50.71,15.55,-0.29,1.69,2.57,-0.18,2.58,1.70,0.88,0.29,80109,3.9,62.86
