AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,ELD_AB_MN,ELD_N,ELD_LE90,SLOPE_PC
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-42.16,915.36,1.59,4.31,29.12,-0.09,29.16,3.90,1.79,1.59,129160,5.5,100
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-18.44,21.33,-0.19,1.92,2.47,-0.25,2.48,1.93,1.48,0.19,110427,4.01,85.5
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-42.16,68.07,4.04,7.03,8.88,3.77,9.75,7.67,0.21,4.04,16656,15.86,12.9
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-47.00,915.36,-0.15,4.16,29.81,-1.56,29.81,4.22,2.25,0.15,129166,6.06,100
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-20.72,14.62,-1.66,1.95,2.49,-1.64,2.99,2.39,1.86,1.66,109909,4.89,85.09
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-47.00,67.36,0.07,6.60,8.44,0.11,8.44,6.60,0.28,0.07,17183,13.35,13.3
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-37.59,911.36,1.12,5.09,29.24,-0.60,29.26,4.82,2.64,1.12,129160,7.5,100
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-23.31,24.89,-0.80,2.77,3.55,-0.85,3.64,2.86,2.20,0.80,110427,5.94,85.5
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-37.59,65.04,4.59,7.73,9.71,4.50,10.74,8.51,0.31,4.59,16656,17.33,12.9
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-43.87,911.36,-0.63,4.94,29.92,-2.09,29.93,5.17,3.12,0.63,129166,8.05,100
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-26.95,20.50,-2.27,2.79,3.57,-2.23,4.23,3.36,2.59,2.27,109909,6.87,85.09
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-43.87,64.01,0.52,7.33,9.26,0.53,9.28,7.34,0.39,0.52,17183,14.66,13.3
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-39.48,914.93,2.22,4.00,29.04,0.62,29.13,3.60,1.42,2.22,129160,4.97,100
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-12.58,17.25,0.54,1.46,1.89,0.53,1.97,1.52,1.18,0.54,110427,3.16,85.5
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-39.48,51.63,3.97,7.41,9.15,4.01,9.98,8.05,0.17,3.97,16656,16.15,12.9
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-40.63,914.93,0.47,3.91,29.76,-0.66,29.76,3.76,1.59,0.47,129166,5.51,100
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-19.15,10.22,-0.93,1.70,2.15,-0.70,2.34,1.78,1.29,0.93,109909,3.93,85.09
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-40.63,50.60,-0.00,7.05,8.78,0.33,8.78,7.05,0.18,0.00,17183,13.92,13.3
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-22.28,13.23,0.58,1.37,1.79,0.46,1.88,1.42,1.10,0.58,129600,3.06,100
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-8.26,11.16,0.58,1.35,1.73,0.45,1.83,1.39,1.07,0.58,126542,3.01,97.64
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-22.28,13.23,-0.04,4.43,5.33,-0.14,5.32,4.43,0.01,0.04,907,7.91,0.7
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-24.55,13.76,0.00,1.37,1.81,-0.08,1.81,1.37,1.09,0.00,129600,2.89,100
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-9.44,10.51,0.01,1.35,1.74,-0.08,1.74,1.35,1.06,0.01,126507,2.85,97.61
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-24.55,13.76,-0.74,4.71,5.68,-0.80,5.72,4.74,0.01,0.74,942,8.66,0.73
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-26.94,18.29,3.63,1.70,2.19,3.58,4.24,3.72,3.59,3.63,129600,6.4,100
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-8.83,15.37,3.63,1.68,2.15,3.58,4.22,3.71,3.53,3.63,126542,6.37,97.64
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-22.42,18.29,3.11,4.25,5.29,3.33,6.13,4.97,0.04,3.11,907,10.07,0.7
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-27.75,18.57,3.05,1.74,2.25,3.02,3.79,3.23,3.05,3.05,129600,5.88,100
brazil,S08QW038D,SRTM,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-9.46,15.27,3.06,1.72,2.20,3.02,3.77,3.22,2.98,3.06,126507,5.85,97.61
