AREA,REF_TYPE,DEMIX_TILE,CRITERION,COP,ALOS,ASTER,SRTM,FABDEM,NASA
brazil,DTM,S08PW038D,E_LE90,10.09,6.38,12.5,11.38,9.88,9.91
brazil,DTM,S08QW038C,E_LE90,5.55,7.09,7.5,8.42,4.97,5.5
brazil,DTM,S08QW038D,E_LE90,3.06,3.69,7.73,6.4,2.79,3.71
la_palma,DSM,N28UW018B,E_LE90,11.57,8.49,19,15.99,13.57,14.16
la_palma,DSM,N28VW018B,E_LE90,21.53,12.17,28.8,24.69,23.68,23.81
la_palma,DSM,N28XW018A,E_LE90,23.03,10.58,30.8,25.87,26.44,23.33
la_palma,DSM,N28XW018B,E_LE90,40.47,19.59,55.01,49.71,41.57,48.64
pyrenees,DSM,N43PW002B,E_LE90,19.49,12.33,25.31,21.17,27.27,20.67
pyrenees,DSM,N43PW002C,E_LE90,18.49,13.07,25.8,21.05,25.17,20.23
norway,DSM,N59QE009G,E_LE90,10.59,7.27,18.86,11.51,16.62,11.49
norway,DSM,N59RE009G,E_LE90,9.16,6.76,15.57,10.01,15.99,9.95
norway,DSM,N59TE009G,E_LE90,8.91,6.37,16.02,10.13,14.55,10.17
brazil,DSM,S08PW038C,E_LE90,3.97,3.02,10.03,6.02,4.37,5.61
brazil,DSM,S08PW038D,E_LE90,10.1,4.63,13.65,10.61,10.16,10.52
brazil,DSM,S08QW038C,E_LE90,5.21,3.93,8.05,6.86,5.51,6.06
brazil,DSM,S08QW038D,E_LE90,2.89,2.98,8.26,5.88,2.97,4.14
la_palma,DTM,N28UW018B,S_RMSE,7.65,5.56,10.63,10.06,7.53,9.58
la_palma,DTM,N28VW018B,S_RMSE,17.27,14.17,20.73,19.36,17.62,19.41
la_palma,DTM,N28XW018A,S_RMSE,20.86,12.53,23.73,22.29,21.37,22.59
la_palma,DTM,N28XW018B,S_RMSE,34.23,24.72,36.74,36.19,34.61,36.85
pyrenees,DTM,N43PW002B,S_RMSE,11.9,11.28,18.48,13.07,12.26,13.15
pyrenees,DTM,N43PW002C,S_RMSE,11.11,10.39,18.52,12.34,11.31,12.37
norway,DTM,N59QE009G,S_RMSE,10.19,10.1,17.13,12.95,13.54,12.91
norway,DTM,N59RE009G,S_RMSE,8.58,8.46,14.18,10.46,11.38,10.41
norway,DTM,N59TE009G,S_RMSE,7.12,7.62,14.01,8.72,8.98,8.59
brazil,DTM,S08PW038C,S_RMSE,2.64,2.06,5.5,3.47,2.7,3.45
brazil,DTM,S08PW038D,S_RMSE,6.67,3.32,9.01,7.35,6.65,7.34
brazil,DTM,S08QW038C,S_RMSE,3.77,2.38,5.49,4.34,3.76,4.41
brazil,DTM,S08QW038D,S_RMSE,2.08,1.66,4.98,2.74,2.14,2.72
la_palma,DSM,N28UW018B,S_RMSE,7.76,5.57,10.5,10.18,8.02,9.72
la_palma,DSM,N28VW018B,S_RMSE,17.91,14.43,21.1,19.89,18.37,19.95
la_palma,DSM,N28XW018A,S_RMSE,21.22,12.78,23.89,22.64,21.89,22.98
la_palma,DSM,N28XW018B,S_RMSE,35.12,25.16,37.6,37.04,35.54,37.72
pyrenees,DSM,N43PW002B,S_RMSE,12.23,9.31,18.5,13.72,13.1,13.76
pyrenees,DSM,N43PW002C,S_RMSE,11.1,8.63,18.39,12.96,12.14,12.96
norway,DSM,N59QE009G,S_RMSE,11.47,8.83,16.94,13.1,13.63,13.09
norway,DSM,N59RE009G,S_RMSE,9.62,7.74,14.39,11.28,11.85,11.26
norway,DSM,N59TE009G,S_RMSE,8.27,7.09,14.27,10.05,9.87,9.95
brazil,DSM,S08PW038C,S_RMSE,2.69,2.11,5.46,3.54,2.87,3.51
brazil,DSM,S08PW038D,S_RMSE,6.81,3.29,9.07,7.46,6.81,7.45
brazil,DSM,S08QW038C,S_RMSE,3.75,2.19,5.48,4.43,3.89,4.49
brazil,DSM,S08QW038D,S_RMSE,2.09,1.68,4.97,2.79,2.22,2.77
la_palma,DTM,N28UW018B,S_MAE,4.93,3.26,7.33,6.73,4.84,6.55
la_palma,DTM,N28VW018B,S_MAE,9.35,6.95,12.34,11.03,9.44,11
la_palma,DTM,N28XW018A,S_MAE,12.47,5.88,14.87,13.59,12.7,13.48
la_palma,DTM,N28XW018B,S_MAE,21.01,12.13,24.01,23.29,21.26,23.58
pyrenees,DTM,N43PW002B,S_MAE,8.68,8.41,14.38,9.79,8.85,9.84
pyrenees,DTM,N43PW002C,S_MAE,8.11,7.64,14.2,9.15,8.13,9.17
norway,DTM,N59QE009G,S_MAE,7,7.29,12.33,8.96,9.27,8.92
norway,DTM,N59RE009G,S_MAE,6.04,6.08,10.53,7.43,7.92,7.41
norway,DTM,N59TE009G,S_MAE,5.06,5.38,10.46,6.17,6.26,6.13
brazil,DTM,S08PW038C,S_MAE,1.7,1.34,4.18,2.5,1.75,2.48
brazil,DTM,S08PW038D,S_MAE,4.08,2.12,6.31,4.76,4.05,4.76
brazil,DTM,S08QW038C,S_MAE,2.31,1.61,3.94,2.92,2.34,2.91
brazil,DTM,S08QW038D,S_MAE,1.5,1.14,3.77,2.11,1.55,2.1
la_palma,DSM,N28UW018B,S_MAE,5.1,3.48,7.22,6.86,5.31,6.7
la_palma,DSM,N28VW018B,S_MAE,9.58,6.84,12.47,11.31,9.91,11.31
la_palma,DSM,N28XW018A,S_MAE,12.78,6.3,14.89,13.82,13.17,13.77
la_palma,DSM,N28XW018B,S_MAE,21.47,12.24,24.48,23.77,21.82,24.06
pyrenees,DSM,N43PW002B,S_MAE,8.85,6.81,14.34,10.3,9.52,10.32
pyrenees,DSM,N43PW002C,S_MAE,8.01,6.31,14.05,9.68,8.81,9.67
norway,DSM,N59QE009G,S_MAE,7.88,6.02,12.27,9.12,9.48,9.09
norway,DSM,N59RE009G,S_MAE,6.68,5.32,10.66,7.94,8.27,7.92
norway,DSM,N59TE009G,S_MAE,5.86,4.81,10.64,7.09,6.99,7.06
brazil,DSM,S08PW038C,S_MAE,1.76,1.47,4.15,2.56,1.93,2.54
brazil,DSM,S08PW038D,S_MAE,4.18,2.16,6.35,4.86,4.19,4.85
brazil,DSM,S08QW038C,S_MAE,2.36,1.59,3.97,3.04,2.54,3.03
brazil,DSM,S08QW038D,S_MAE,1.5,1.18,3.77,2.15,1.62,2.14
la_palma,DTM,N28UW018B,S_LE90,11.11,7.05,15.89,14.53,10.76,14.2
la_palma,DTM,N28VW018B,S_LE90,23.11,16.34,30.34,27.22,23.34,27.25
la_palma,DTM,N28XW018A,S_LE90,28.94,12.77,33.85,30.85,29.62,30.64
la_palma,DTM,N28XW018B,S_LE90,50.14,27.88,54.47,53.62,50.93,54.55
pyrenees,DTM,N43PW002B,S_LE90,19.3,18.52,30.43,21.12,19.72,21.22
pyrenees,DTM,N43PW002C,S_LE90,18.04,17.16,30.14,19.84,18.09,19.87
norway,DTM,N59QE009G,S_LE90,16.26,16.46,26.95,20.64,21.86,20.59
norway,DTM,N59RE009G,S_LE90,13.92,13.86,22.75,16.84,18.35,16.83
norway,DTM,N59TE009G,S_LE90,11.5,12.52,22.3,13.57,14.13,13.55
brazil,DTM,S08PW038C,S_LE90,3.82,3.04,8.88,5.26,3.95,5.21
brazil,DTM,S08PW038D,S_LE90,10.52,5.26,13.99,11.36,10.47,11.41
brazil,DTM,S08QW038C,S_LE90,5.11,3.79,8.3,6.08,5.11,6.01
brazil,DTM,S08QW038D,S_LE90,3.37,2.52,8.01,4.44,3.48,4.42
la_palma,DSM,N28UW018B,S_LE90,11.33,7.38,15.41,14.77,11.81,14.53
la_palma,DSM,N28VW018B,S_LE90,23.58,15.23,30.44,27.61,24.1,27.62
la_palma,DSM,N28XW018A,S_LE90,29.43,13.45,33.96,31.42,30.44,31.19
la_palma,DSM,N28XW018B,S_LE90,51.66,27.84,55.82,55,52.47,56.1
pyrenees,DSM,N43PW002B,S_LE90,19.8,14.65,30.4,22.23,21.31,22.29
pyrenees,DSM,N43PW002C,S_LE90,17.8,13.69,29.78,20.88,19.55,20.93
norway,DSM,N59QE009G,S_LE90,18.33,13.62,27.03,21.31,22.06,21.28
norway,DSM,N59RE009G,S_LE90,15.19,11.88,23.05,18.18,18.94,18.19
norway,DSM,N59TE009G,S_LE90,13.1,10.78,22.77,15.86,15.66,15.88
