AREA,DEMIX_TILE,REF_TYPE,REF_SLOPE,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28XW018A,DTM,STEEP,ELD_LE90,23.74,26.64,17.71,30.09,33.41,39.23
la_palma,N28XW018A,DTM,FLAT,ELD_AVG,4.61,4.33,2.22,5.05,5.1,6.72
la_palma,N28XW018A,DTM,FLAT,ELD_STD,7.48,7.24,4.03,7.93,7.91,10.62
la_palma,N28XW018A,DTM,FLAT,ELD_RMSE,7.71,7.37,10.39,9.65,12.04,11.81
la_palma,N28XW018A,DTM,FLAT,ELD_MAE,5.09,4.1,9.58,6.41,9.37,7.28
la_palma,N28XW018A,DTM,FLAT,ELD_LE90,10.31,9,12.9,13.85,17.29,16.85
la_palma,N28XW018A,DTM,URBAN,ELD_AVG,4.74,4.73,1.37,4.59,4.61,6.36
la_palma,N28XW018A,DTM,URBAN,ELD_STD,5.96,5.99,1.92,5.71,5.72,11.21
la_palma,N28XW018A,DTM,URBAN,ELD_RMSE,6.56,6.89,9.88,9.29,12.31,14.86
la_palma,N28XW018A,DTM,URBAN,ELD_MAE,4.84,5.09,9.75,7.57,11.06,9.9
la_palma,N28XW018A,DTM,URBAN,ELD_LE90,11.22,11.7,12.07,15.85,20.65,16.35
la_palma,N28XW018A,DTM,FOREST,ELD_AVG,10.68,10.8,3.98,10.56,10.57,13.7
la_palma,N28XW018A,DTM,FOREST,ELD_STD,15.66,15.5,10.04,15.86,15.58,18.85
la_palma,N28XW018A,DTM,FOREST,ELD_RMSE,15.66,16.29,15.01,18.64,20.56,23.13
la_palma,N28XW018A,DTM,FOREST,ELD_MAE,10.67,10.79,11.28,12.42,14.99,16.4
la_palma,N28XW018A,DTM,FOREST,ELD_LE90,21.55,24.43,17.13,27.23,30.95,37
la_palma,N28XW018A,DSM,ALL,ELD_AVG,11.97,11.13,4.5,11.1,10.94,13
la_palma,N28XW018A,DSM,ALL,ELD_STD,17.93,16.86,11.5,18.12,17.35,19.59
la_palma,N28XW018A,DSM,ALL,ELD_RMSE,18.46,16.86,12.74,18.79,19.29,21.17
la_palma,N28XW018A,DSM,ALL,ELD_MAE,12.8,11.13,6.96,11.27,12.58,13.77
la_palma,N28XW018A,DSM,ALL,ELD_LE90,26.44,23.03,10.58,23.33,25.87,30.8
la_palma,N28XW018A,DSM,STEEP,ELD_AVG,12.69,11.91,4.69,11.71,11.51,13.57
la_palma,N28XW018A,DSM,STEEP,ELD_STD,18.58,17.58,12.05,18.71,17.9,20.29
la_palma,N28XW018A,DSM,STEEP,ELD_RMSE,19.1,17.58,13.24,19.42,19.9,22.11
la_palma,N28XW018A,DSM,STEEP,ELD_MAE,13.46,11.89,7.02,11.95,13.18,14.72
la_palma,N28XW018A,DSM,STEEP,ELD_LE90,27.34,23.95,10.83,24.36,26.99,32.13
la_palma,N28XW018A,DSM,FLAT,ELD_AVG,5.68,4.16,2.45,4.96,5.08,6.03
la_palma,N28XW018A,DSM,FLAT,ELD_STD,8.39,6.81,4.67,7.77,7.78,9.69
la_palma,N28XW018A,DSM,FLAT,ELD_RMSE,9.9,7.07,7.73,8.07,9.7,9.89
la_palma,N28XW018A,DSM,FLAT,ELD_MAE,7.11,4.68,6.67,5.2,7.17,6.1
la_palma,N28XW018A,DSM,FLAT,ELD_LE90,15.72,9.8,9.25,11.5,13.56,13.62
la_palma,N28XW018A,DSM,URBAN,ELD_AVG,4.81,4.8,1.49,4.69,4.73,6.41
la_palma,N28XW018A,DSM,URBAN,ELD_STD,6.02,6.04,2.08,5.93,5.91,11.39
la_palma,N28XW018A,DSM,URBAN,ELD_RMSE,6.05,6.17,7.81,7.92,10.63,13.75
la_palma,N28XW018A,DSM,URBAN,ELD_MAE,4.73,4.72,7.59,5.92,9.03,8.06
la_palma,N28XW018A,DSM,URBAN,ELD_LE90,10.1,10.7,9.88,13.95,17.95,14.95
la_palma,N28XW018A,DSM,FOREST,ELD_AVG,11.2,10.47,4.2,10.1,10.13,12.19
la_palma,N28XW018A,DSM,FOREST,ELD_STD,16.23,15.41,10.26,15.73,15.46,17.91
la_palma,N28XW018A,DSM,FOREST,ELD_RMSE,17.23,15.43,11.53,16.21,17.2,19.42
la_palma,N28XW018A,DSM,FOREST,ELD_MAE,12.4,10.57,6.57,10.28,11.65,13.01
la_palma,N28XW018A,DSM,FOREST,ELD_LE90,25.65,21.93,10.2,21.45,23.84,29.13
la_palma,N28XW018B,DTM,ALL,ELD_AVG,20.16,19.86,11.24,21.53,21.24,21.94
la_palma,N28XW018B,DTM,ALL,ELD_STD,29.75,29.21,26.54,31.73,31,31.56
la_palma,N28XW018B,DTM,ALL,ELD_RMSE,30.24,31.59,31.05,36.82,37.3,40.28
la_palma,N28XW018B,DTM,ALL,ELD_MAE,19.85,20.69,17.73,24.43,25.56,28.73
la_palma,N28XW018B,DTM,ALL,ELD_LE90,40.91,43.97,28.77,53.86,55.3,61.05
la_palma,N28XW018B,DTM,STEEP,ELD_AVG,20.45,20.1,11.43,21.77,21.46,22.08
la_palma,N28XW018B,DTM,STEEP,ELD_STD,30.08,29.52,26.9,32.05,31.3,31.8
la_palma,N28XW018B,DTM,STEEP,ELD_RMSE,30.61,31.99,31.44,37.28,37.75,40.77
la_palma,N28XW018B,DTM,STEEP,ELD_MAE,20.22,21.12,17.95,24.92,26.03,29.27
la_palma,N28XW018B,DTM,STEEP,ELD_LE90,41.55,44.56,29.1,54.51,55.94,61.68
la_palma,N28XW018B,DTM,FLAT,ELD_AVG,7.74,8.21,4.6,9.19,9.41,10.87
la_palma,N28XW018B,DTM,FLAT,ELD_STD,14.56,14.57,10.99,16.24,16.33,17.38
la_palma,N28XW018B,DTM,FLAT,ELD_RMSE,14.71,14.87,15.62,17.88,18.9,20.19
la_palma,N28XW018B,DTM,FLAT,ELD_MAE,8.69,7.5,11.4,9.61,11.15,12.14
la_palma,N28XW018B,DTM,FLAT,ELD_LE90,16.34,18.93,18.3,23.62,25.74,29.4
la_palma,N28XW018B,DTM,URBAN,ELD_AVG,5.9,6,1.35,5.93,6.24,6.67
la_palma,N28XW018B,DTM,URBAN,ELD_STD,8.45,8.46,1.96,8.44,8.57,9.69
la_palma,N28XW018B,DTM,URBAN,ELD_RMSE,8.44,8.44,8.67,9.83,10.78,12.82
la_palma,N28XW018B,DTM,URBAN,ELD_MAE,6.08,5.93,8.48,6.31,7.46,8.84
la_palma,N28XW018B,DTM,URBAN,ELD_LE90,13.96,14.19,10.64,17.4,18.67,22.07
la_palma,N28XW018B,DTM,FOREST,ELD_AVG,18.39,18.26,10.94,19.51,19.4,20.32
la_palma,N28XW018B,DTM,FOREST,ELD_STD,26.55,26.19,25.86,28.25,27.82,28.59
la_palma,N28XW018B,DTM,FOREST,ELD_RMSE,26.79,28.38,30.69,32.9,33.74,37.13
la_palma,N28XW018B,DTM,FOREST,ELD_MAE,18.14,19,17.64,22.27,23.55,27.03
la_palma,N28XW018B,DTM,FOREST,ELD_LE90,35.8,39.48,28.35,48.35,50.53,57.07
la_palma,N28XW018B,DSM,ALL,ELD_AVG,20.68,19.92,10.34,21.79,21.46,22.26
la_palma,N28XW018B,DSM,ALL,ELD_STD,30.75,29.75,26.37,32.42,31.64,32.31
la_palma,N28XW018B,DSM,ALL,ELD_RMSE,30.87,30,27.54,34.08,34.05,36.44
la_palma,N28XW018B,DSM,ALL,ELD_MAE,21.21,19.54,11.51,21.63,22,24.38
