AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,REC_ID,BEST_DEM,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FLAT,951,FABDEM,ELD_AVG,0.68,1.53,2.14,2.21,2.48,2.92
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FLAT,951,FABDEM,ELD_STD,1.28,2.39,4.58,3.5,3.9,4.66
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FLAT,951,FABDEM,ELD_RMSE,1.35,2.84,5.94,3.59,5.2,9.66
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FLAT,951,FABDEM,ELD_MAE,0.74,1.79,3.85,2.17,3.75,8.63
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FLAT,951,FABDEM,ELD_LE90,1.47,3.97,6.3,4.5,7.05,12.44
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,URBAN,954,FABDEM,ELD_AVG,0.66,1.5,2.29,2.17,2.26,2.34
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,URBAN,954,FABDEM,ELD_STD,1.34,2.47,5.07,3.61,3.88,3.97
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,URBAN,954,FABDEM,ELD_RMSE,1.46,3.12,6.63,3.74,5.45,10.29
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,URBAN,954,FABDEM,ELD_MAE,0.74,2,4.29,2.18,3.97,9.5
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,URBAN,954,FABDEM,ELD_LE90,1.51,4.2,6.87,4.36,6.93,12.79
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FOREST,953,FABDEM,ELD_AVG,0.65,1.91,1.55,2.67,2.69,2.05
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FOREST,953,FABDEM,ELD_STD,0.97,2.34,2.07,3.46,3.44,2.79
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FOREST,953,FABDEM,ELD_RMSE,1.25,3.31,4.03,4.18,6.5,9.95
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FOREST,953,FABDEM,ELD_MAE,0.97,2.5,3.52,3.29,5.72,9.57
new_orleans_west,N29ZW091L,29.95,-90.05,0.16,0.64,0.43,23.76,5,71.42,DTM,FOREST,953,FABDEM,ELD_LE90,1.96,5.56,6.07,7.24,10.02,12.8
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,ALL,675,FABDEM,ELD_AVG,1.31,3.8,3.77,2.76,2.64,3.42
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,ALL,675,FABDEM,ELD_STD,2.33,4.78,4.91,3.38,3.29,4.34
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,ALL,675,FABDEM,ELD_RMSE,2.58,5.78,6.74,5.99,5.25,7.26
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,ALL,675,FABDEM,ELD_MAE,1.36,3.47,4.7,5.03,4.24,5.82
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,ALL,675,FABDEM,ELD_LE90,2.52,11.92,13.57,9.77,8.89,11.5
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FLAT,676,FABDEM,ELD_AVG,1.31,3.81,3.77,2.76,2.64,3.42
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FLAT,676,FABDEM,ELD_STD,2.34,4.78,4.91,3.38,3.29,4.35
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FLAT,676,FABDEM,ELD_RMSE,2.58,5.79,6.74,6,5.26,7.26
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FLAT,676,FABDEM,ELD_MAE,1.36,3.48,4.7,5.03,4.24,5.82
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FLAT,676,FABDEM,ELD_LE90,2.52,11.93,13.58,9.77,8.89,11.52
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,URBAN,678,FABDEM,ELD_AVG,0.77,2.44,2.79,2.84,2.75,2.69
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,URBAN,678,FABDEM,ELD_STD,1.07,3.3,3.78,3.56,3.49,3.83
