AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90
pyrenees,N43PW002C,SRTM,md_dtm_2m_1sec_point,DTM,100.00,-69.33,92.47,5.02,8.50,11.27,4.05,12.34,9.15,6.92,5.02,130312,19.84
pyrenees,N43PW002B,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-63.36,88.94,4.24,9.91,13.05,3.37,13.72,10.30,7.92,4.24,130321,22.23
pyrenees,N43PW002C,SRTM,md_dsm_5m_1sec_point,DSM,100.00,-69.76,88.94,3.40,9.45,12.51,2.60,12.96,9.68,7.39,3.40,130321,20.88
pyrenees,N43PW002B,ALOS,md_dtm_2m_1sec_area,DTM,100.00,-145.37,80.68,3.88,7.92,10.59,3.30,11.28,8.41,6.35,3.88,130312,18.52
pyrenees,N43PW002C,ALOS,md_dtm_2m_1sec_area,DTM,100.00,-145.37,80.68,3.68,7.26,9.72,2.81,10.39,7.64,5.58,3.68,130312,17.16
pyrenees,N43PW002B,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-145.21,79.38,2.48,6.57,8.97,2.11,9.31,6.81,5.13,2.48,130321,14.65
pyrenees,N43PW002C,ALOS,md_dsm_5m_1sec_area,DSM,100.00,-145.21,79.38,2.05,6.17,8.38,1.57,8.63,6.31,4.69,2.05,130321,13.69
pyrenees,N43PW002B,NASA,md_dtm_2m_1sec_point,DTM,100.00,-62.44,79.11,5.93,8.90,11.73,4.96,13.15,9.84,7.54,5.93,130321,21.22
pyrenees,N43PW002C,NASA,md_dtm_2m_1sec_point,DTM,100.00,-62.48,92.23,5.22,8.45,11.21,4.19,12.37,9.17,6.93,5.22,130312,19.87
pyrenees,N43PW002B,NASA,md_dsm_5m_1sec_point,DSM,100.00,-61.66,85.06,4.52,9.88,13.00,3.61,13.76,10.32,7.92,4.52,130321,22.29
pyrenees,N43PW002C,NASA,md_dsm_5m_1sec_point,DSM,100.00,-62.92,87.63,3.60,9.41,12.45,2.77,12.96,9.67,7.38,3.60,130321,20.93
pyrenees,N43PW002B,ASTER,md_dtm_2m_1sec_point,DTM,100.00,-117.91,111.57,6.38,13.50,17.34,5.99,18.48,14.38,11.65,6.38,130321,30.43
pyrenees,N43PW002C,ASTER,md_dtm_2m_1sec_point,DTM,100.00,-127.93,112.66,6.37,13.38,17.39,5.74,18.52,14.20,11.29,6.37,130312,30.14
pyrenees,N43PW002B,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-116.20,104.86,4.97,13.86,17.82,4.49,18.50,14.34,11.53,4.97,130321,30.4
pyrenees,N43PW002C,ASTER,md_dsm_5m_1sec_point,DSM,100.00,-116.20,127.19,4.75,13.64,17.77,4.10,18.39,14.05,11.14,4.75,130321,29.78
pyrenees,N43PW002B,FABDEM,md_dtm_2m_1sec_point,DTM,100.00,-61.22,80.32,3.67,8.52,11.69,2.80,12.26,8.85,6.38,3.67,130321,19.72
pyrenees,N43PW002C,FABDEM,md_dtm_2m_1sec_point,DTM,100.00,-75.16,80.32,3.53,7.79,10.74,2.69,11.31,8.13,5.86,3.53,130312,18.09
pyrenees,N43PW002B,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-70.60,80.50,2.27,9.46,12.90,1.45,13.10,9.52,6.91,2.27,130321,21.31
pyrenees,N43PW002C,FABDEM,md_dsm_5m_1sec_point,DSM,100.00,-75.12,95.01,1.91,8.76,11.99,1.25,12.14,8.81,6.43,1.91,130321,19.55
