AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,SMD_AB_MN,SMD_N,SMD_LE90
norway,N59TE009G,COP,md_dsm1m_1sec_point,DSM,93.44,-501.61,138.44,1.61,5.82,8.11,0.97,8.27,5.86,4.14,1.61,134841,13.1
norway,N59TE010A,COP,md_dsm1m_1sec_point,DSM,99.12,-501.61,138.44,1.72,5.86,8.14,0.88,8.32,5.87,4.11,1.72,143211,13.43
norway,N59TE010B,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,138.44,1.69,5.14,7.49,0.50,7.68,5.04,3.04,1.69,144737,12.53
norway,N59TE010C,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,671.44,1.50,4.46,8.99,0.03,9.12,4.03,1.33,1.50,104840,11.46
norway,N59QE009G,SRTM,md_dtm1m_1sec_point,DTM,76.65,-84.97,158.29,4.05,8.93,12.30,2.05,12.95,8.96,6.09,4.05,165644,20.64
norway,N59RE009G,SRTM,md_dtm1m_1sec_point,DTM,100.00,-84.97,158.29,3.25,7.34,9.94,1.84,10.46,7.43,5.23,3.25,216934,16.84
norway,N59RE010A,SRTM,md_dtm1m_1sec_point,DTM,100.00,-84.97,158.29,3.02,7.10,9.64,1.64,10.10,7.16,5.01,3.02,216934,16.31
norway,N59RE010B,SRTM,md_dtm1m_1sec_point,DTM,100.00,-84.97,158.29,1.79,5.55,7.69,0.58,7.89,5.47,3.65,1.79,216934,12.74
norway,N59RE010C,SRTM,md_dtm1m_1sec_point,DTM,100.00,-84.97,158.29,-0.25,3.68,5.97,-0.27,5.97,3.69,2.16,0.25,216961,9.02
norway,N59TE009G,SRTM,md_dtm1m_1sec_point,DTM,93.44,-229.85,158.29,2.01,6.15,8.49,1.10,8.72,6.17,4.44,2.01,202091,13.57
norway,N59TE010A,SRTM,md_dtm1m_1sec_point,DTM,99.12,-229.85,158.29,1.97,5.94,8.13,0.92,8.37,5.93,4.20,1.97,214679,13.31
norway,N59TE010B,SRTM,md_dtm1m_1sec_point,DTM,100.00,-229.85,158.29,0.98,4.72,6.84,0.09,6.91,4.65,3.00,0.98,216925,10.96
norway,N59TE010C,SRTM,md_dtm1m_1sec_point,DTM,100.00,-229.85,158.29,0.21,2.74,5.84,-0.00,5.84,2.63,0.00,0.21,216952,8.18
norway,N59QE009G,SRTM,md_dsm1m_1sec_point,DSM,76.65,-501.56,144.98,4.55,9.01,12.28,2.48,13.10,9.12,6.14,4.55,165664,21.31
norway,N59RE009G,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,144.98,3.87,7.79,10.60,2.26,11.28,7.94,5.48,3.87,216943,18.18
norway,N59RE010A,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,144.98,4.17,7.51,10.13,2.60,10.96,7.75,5.38,4.17,216916,17.84
norway,N59RE010B,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,144.98,3.66,6.72,9.17,1.69,9.88,6.69,4.21,3.66,216952,16.24
norway,N59RE010C,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,144.98,2.90,5.65,8.05,0.43,8.56,5.24,2.74,2.90,216961,13.78
norway,N59TE009G,SRTM,md_dsm1m_1sec_point,DSM,93.44,-501.56,144.98,3.02,6.96,9.58,1.88,10.05,7.09,5.01,3.02,202100,15.86
norway,N59TE010A,SRTM,md_dsm1m_1sec_point,DSM,99.12,-501.56,144.98,3.39,6.86,9.28,2.01,9.88,6.99,4.86,3.39,214643,15.97
norway,N59TE010B,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,144.98,3.44,6.35,8.77,1.39,9.42,6.25,3.78,3.44,216925,15.41
norway,N59TE010C,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,806.71,2.64,5.60,10.04,0.04,10.38,4.91,1.85,2.64,157099,14.09
norway,N59QE009G,ALOS,md_dtm1m_1sec_area,DTM,76.65,-106.43,103.60,-0.17,7.28,10.10,-0.43,10.10,7.29,5.22,0.17,166545,16.46
norway,N59RE009G,ALOS,md_dtm1m_1sec_area,DTM,100.00,-106.43,103.60,-0.30,6.07,8.45,-0.24,8.46,6.08,4.29,0.30,216952,13.86
norway,N59RE010A,ALOS,md_dtm1m_1sec_area,DTM,100.00,-138.50,103.60,0.49,5.97,8.74,0.20,8.76,5.97,4.16,0.49,217295,13.24
norway,N59RE010B,ALOS,md_dtm1m_1sec_area,DTM,100.00,-140.66,103.60,0.71,6.09,9.06,0.21,9.08,6.08,3.99,0.71,216546,14.01
norway,N59RE010C,ALOS,md_dtm1m_1sec_area,DTM,100.00,-140.66,103.60,-2.29,5.14,8.08,-1.14,8.40,5.14,2.98,2.29,216952,12.75
norway,N59TE009G,ALOS,md_dtm1m_1sec_area,DTM,93.44,-140.66,103.60,-0.73,5.37,7.59,-0.43,7.62,5.38,3.66,0.73,201182,12.52
norway,N59TE010A,ALOS,md_dtm1m_1sec_area,DTM,99.12,-140.66,103.60,-0.77,5.46,7.65,-0.62,7.68,5.48,3.83,0.77,214486,12.52
norway,N59TE010B,ALOS,md_dtm1m_1sec_area,DTM,100.00,-140.66,107.07,0.74,4.87,7.25,0.01,7.29,4.81,3.09,0.74,216564,11.24
norway,N59TE010C,ALOS,md_dtm1m_1sec_area,DTM,100.00,-146.65,107.07,-0.81,3.32,6.56,-0.00,6.61,2.94,0.00,0.81,216961,9.22
norway,N59QE009G,ALOS,md_dsm1m_1sec_area,DSM,76.65,-466.56,98.86,0.35,6.04,8.82,-0.10,8.83,6.02,4.06,0.35,166590,13.62
norway,N59RE009G,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,98.86,0.34,5.32,7.73,0.05,7.74,5.32,3.64,0.34,216952,11.88
norway,N59RE010A,ALOS,md_dsm1m_1sec_area,DSM,100.00,-466.56,98.86,1.63,6.07,9.06,0.88,9.20,6.08,3.99,1.63,217295,13.71
