AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,N
la_palma,N28UW018B,SRTM_egm2008,dsm_5m_point,93.51,-110.34,190.10,5.87,5.12,7.09,4.80,9.20,6.86,5.41,177896
la_palma,N28VW018B,SRTM_egm2008,dsm_5m_point,100.00,-146.96,222.25,6.03,8.26,14.38,4.74,15.59,9.67,6.38,201732
la_palma,N28XW018A,SRTM_egm2008,dsm_5m_point,96.75,-195.46,324.60,8.81,14.85,23.60,4.88,25.19,15.43,9.53,356908
la_palma,N28XW018B,SRTM_egm2008,dsm_5m_point,100.00,-195.46,324.60,9.22,17.35,26.73,3.95,28.27,17.53,10.69,226948
la_palma,N28UW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,93.51,-59.66,139.06,6.29,3.08,4.49,6.03,7.73,6.45,6.07,159106
la_palma,N28VW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-140.92,249.53,10.22,5.78,10.76,8.51,14.84,10.67,8.59,194572
la_palma,N28XW018A,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,96.75,-247.28,505.95,12.56,8.50,19.29,9.58,23.01,13.59,9.77,348886
la_palma,N28XW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-247.28,505.95,13.72,10.30,22.36,10.09,26.23,15.11,10.42,223241
la_palma,N28UW018B,ALOS_egm2008,dsm_5m_area,93.51,-88.86,139.55,2.83,2.59,3.89,2.21,4.81,3.62,2.55,178119
la_palma,N28VW018B,ALOS_egm2008,dsm_5m_area,100.00,-148.84,227.01,4.96,4.50,9.80,4.45,10.99,6.48,4.86,201990
la_palma,N28XW018A,ALOS_egm2008,dsm_5m_area,96.75,-237.14,489.79,6.05,6.60,17.96,4.68,18.95,8.16,5.34,357023
la_palma,N28XW018B,ALOS_egm2008,dsm_5m_area,100.00,-237.14,489.79,6.46,7.95,20.91,4.12,21.89,9.08,4.95,227063
la_palma,N28UW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-101.91,136.97,8.12,5.84,7.88,7.22,11.32,8.82,7.47,158906
la_palma,N28VW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-111.43,230.81,9.78,9.24,14.94,6.64,17.85,11.47,7.26,194377
la_palma,N28XW018A,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-425.37,380.27,13.15,16.27,25.77,7.93,28.93,17.73,10.64,348764
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-265.14,380.27,15.09,18.60,27.83,9.25,31.66,20.28,12.68,223067
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,-110.34,137.10,4.46,4.79,6.87,3.13,8.19,5.92,4.26,177896
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,-126.66,215.85,4.54,8.03,14.37,3.16,15.07,8.91,5.24,201732
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,-425.10,371.60,6.63,14.96,24.96,2.54,25.83,14.90,8.66,356908
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,-264.59,371.60,7.82,17.35,27.14,2.66,28.24,17.22,10.41,226948
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-80.45,133.55,7.73,7.78,10.32,5.31,12.89,9.23,6.13,158906
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-106.15,249.89,11.58,10.65,17.25,7.61,20.77,13.22,8.20,194377
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-206.46,361.51,15.86,16.93,25.08,10.33,29.67,19.49,12.36,348764
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-206.46,361.51,17.69,18.97,27.98,12.00,33.10,22.05,14.47,223067
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,-110.34,130.60,4.11,5.25,7.74,2.24,8.76,5.98,3.62,177896
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,-113.41,232.20,6.28,8.44,15.62,4.12,16.83,9.59,5.47,201732
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,-199.59,354.46,9.27,14.78,23.46,4.34,25.22,15.09,8.31,356908
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,-199.59,354.46,10.37,17.10,26.60,4.83,28.55,17.45,9.89,226948
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,-54.87,118.26,0.33,2.42,3.99,-0.07,4.01,2.38,1.44,158906
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-197.65,222.67,1.57,4.82,11.16,0.26,11.27,4.58,2.00,194377
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,-233.76,329.54,2.70,10.02,19.93,0.28,20.12,9.46,3.92,348764
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,-233.76,329.54,3.97,11.87,22.78,0.70,23.13,11.28,4.64,223067
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,-112.03,115.30,-2.68,3.38,4.62,-1.15,5.34,3.37,1.51,177896
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,-189.51,216.63,-3.46,5.24,11.36,-2.09,11.87,5.64,2.65,201732
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,-229.90,323.07,-3.63,9.53,19.30,-3.84,19.64,10.46,6.01,356908
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,-229.90,323.07,-3.16,11.23,22.14,-4.05,22.36,11.99,7.04,226948
